Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
0,-1.31,0.24,11.54,0.1005048,-0.01116317,0.00323293,0.9948687


0,-1.31,0.24,11.54,0.1005048,-0.01116317,0.00323293,0.9948687


0,-1.6,-0.41,13.38,0.1165349,-0.0142838,-0.001926662,0.993082


0,-1.59,-0.48,13.75,0.1197488,-0.0142764,-0.002497395,0.9926984


0,-1.66,0.33,13.96,0.1214682,-0.01402838,0.004618486,0.9924855


0,-1.66,0.33,13.96,0.1214682,-0.01402838,0.004618486,0.9924855


0,-2.54,1.92,14.24,0.1235315,-0.01991371,0.01936787,0.9919518


0,-4.86,2.43,13.33,0.1150406,-0.03964395,0.02596179,0.9922298


0,-7.82,1.67,11.22,0.09652974,-0.06643432,0.02113468,0.9928855


0,-11.32,0.38,8.92,0.07705748,-0.09806924,0.01095931,0.9921312


0,-13.39,0.05,8.52,0.07372527,-0.1162298,0.009092321,0.9904405


0,-17.75,0.68,8.13,0.06912497,-0.1534728,0.01678467,0.9855893


0,-21.92,1.09,6.87,0.05701544,-0.189214,0.02071259,0.9800603


0,-26.71,0.03,4.86,0.04119181,-0.2307653,0.01004792,0.9720852


0,-31.39,-1.67,2.63,0.02603227,-0.2707384,-0.007818501,0.9622691


0,-33.42,-1.96,1.44,0.01695096,-0.2876688,-0.01276731,0.9574948


0,-36.8,-2.77,-0.46,0.00382141,-0.3154622,-0.02420131,0.9486219


0,-39.6,-3.02,-1.93,-0.006915505,-0.3381547,-0.03049295,0.940571


0,-41.53,-2.52,-2.96,-0.01635102,-0.3538008,-0.02970888,0.9347059


0,-42.32,-1.48,-3.58,-0.02446808,-0.3603912,-0.02331296,0.9321888


0,-42.32,-1.48,-3.58,-0.02446808,-0.3603912,-0.02331296,0.9321888


0,-41.18,1.55,-3.61,-0.03423762,-0.3518704,0.001579443,0.935421


0,-39.17,1.76,-3.01,-0.02988816,-0.3354298,0.005661907,0.9415739


0,-36.54,1.19,-2.25,-0.02189782,-0.3136116,0.003704397,0.9492916


0,-33.86,0.31,-1.29,-0.01155696,-0.2912128,-0.0006902509,0.9565883


0,-33.86,0.31,-1.29,-0.01155696,-0.2912128,-0.0006902509,0.9565883


0,-29.2,-3.03,1.06,0.01561238,-0.2522071,-0.02325298,0.9672678


0,-22,-4.83,3.66,0.03935559,-0.1918632,-0.03525404,0.9799984


0,-12.94,-6.24,4.43,0.04447479,-0.1145221,-0.04969163,0.9911798


0,-7.61,-7.2,4.32,0.04169678,-0.06854434,-0.06011137,0.9949622


